Comunidad;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008
01 Andalucía;9915;9990;9160;9258;9116;8398;7942;8079;8408;8845;8764;9293;9406;9007
02 Aragón;13345;13097;12300;11990;12110;11649;12427;12037;12022;11904;11657;11968;12411;11485
03 Asturias Principado de;12861;12786;12523;12085;12244;12060;11427;11251;11211;11767;11779;12589;12630;11880
04 Balears Illes;11235;12658;12410;13240;12665;12222;10828;10660;10386;11005;11126;11485;11821;11229
05 Canarias;10161;9935;9487;8964;8863;8702;8640;8302;8513;8423;8610;9202;8932;8902
06 Cantabria;12848;12748;12205;11239;11293;10670;10494;9824;9843;10388;10495;11083;12184;11232
07 Castilla y León;12656;12697;12003;11949;11239;10815;10570;10406;10760;10855;10841;10946;11147;10488
08 Castilla - La Mancha;10257;10485;9715;9533;9045;8731;8498;8545;8425;8878;9105;9892;9631;9064
09 Cataluña;14159;14170;13527;13338;12712;12660;12283;12205;12111;12199;12209;12890;12733;12436
10 Comunitat Valenciana;11237;11332;10611;10232;9801;9265;9098;9144;9375;9965;10236;10555;10502;9864
11 Extremadura;9500;9147;8796;8503;8250;8674;8469;7729;8224;8238;8725;8897;9028;8107
12 Galicia;11453;11469;11218;11239;10753;10439;10212;10235;10106;10266;10370;10504;10026;9482
13 Madrid Comunidad de;14836;14580;14199;13279;13099;12647;12534;12597;12823;13155;13192;13436;13564;12496
14 Murcia Región de;9931;9850;8956;9111;8702;8273;7924;7767;8253;8474;8437;8818;9150;9119
15 Navarra Comunidad Foral de;15269;15094;13937;13585;13583;13408;13300;13221;13608;14041;14301;14276;14175;13123
16 País Vasco;15544;15813;15300;14722;14397;14345;13836;14281;14312;13857;14046;14468;14838;14038
17 Rioja La;12913;13504;12697;12029;12131;11589;11132;11120;10686;11270;10712;10756;11387;10916
18 Ceuta;10397;9853;10164;9784;9676;9435;8512;8712;9336;9990;10030;9616;8702;8047
19 Melilla;12012;11427;11733;12507;10161;10883;10027;11619;11313;11761;11981;11459;11048;11065
